1798,UQ Chancellors Place,6:00 PM,0,0:00,,"1798: ""UQ Chancellor's Place"
1807,Carmody Rd near Boomerang Rd,6:01 PM,0.5,0:01,,"1807: ""Carmody Rd near Boomerang Rd"
1236,Carmody Rd at Munro Street,6:01 PM,0.5,0:00,,"1236: ""Carmody Rd at Munro Street"
1234,Carmody Rd near Baty St,6:03 PM,2,0:02,,"1234: ""Carmody Rd near Baty St"
1829,Swann Rd at Hutton Lane,6:05 PM,2,0:02,,"1829: ""Swann Rd at Hutton Lane"
1832,Swann Rd at Bonvale Lane,6:06 PM,1,0:01,,"1832: ""Swann Rd at Bonvale Lane"
1836,Gailey Rd at Gailey North,6:07 PM,1,0:01,,"1836: ""Gailey Rd at Gailey North"
1837,Gailey Rd at Gailey Park,6:08 PM,1,0:01,,"1837: ""Gailey Rd at Gailey Park"
10245,Indooroopilly Rd at Jack Cook Park,6:09 PM,1,0:01,,"10245: ""Indooroopilly Rd at Jack Cook Park"
1870,Westerham St near Indooroopilly Rd,6:10 PM,1,0:01,,"1870: ""Westerham St near Indooroopilly Rd"
1868,Westerham St at Sundridge Street,6:11 PM,1,0:01,,"1868: ""Westerham St at Sundridge Street"
1233,Oxford Tce near Lucinda St,6:12 PM,1,0:01,,"1233: ""Oxford Tce near Lucinda St"
1753,Morrow St near Beatrice St,6:13 PM,1,0:01,,"1753: ""Morrow St near Beatrice St"
1754,Moggill Rd at Taringa,6:14 PM,1,0:01,,"1754: ""Moggill Rd at Taringa"
1761,Stanley Tce at Bywong Street,6:16 PM,2,0:02,,"1761: ""Stanley Tce at Bywong Street"
1759,Stanley Tce at Camp Street,6:17 PM,1,0:01,,"1759: ""Stanley Tce at Camp Street"
1757,Stanley Tce at Gower Street,6:18 PM,0.5,0:01,,"1757: ""Stanley Tce at Gower Street"
1725,Hillsdon Rd near Stanley Tce,6:18 PM,0.5,0:00,,"1725: ""Hillsdon Rd near Stanley Tce"
1727,Hillsdon Rd near Gregory St,6:19 PM,0.5,0:01,,"1727: ""Hillsdon Rd near Gregory St"
1728,Hillsdon Rd at Hillsdon Shops,6:19 PM,0.5,0:00,,"1728: ""Hillsdon Rd at Hillsdon Shops"
1731,Waverley Rd near Hillsdon Rd,6:20 PM,1,0:01,,"1731: ""Waverley Rd near Hillsdon Rd"
4770,Waverley Rd at Taringa Parade,6:21 PM,1,0:01,,"4770: ""Waverley Rd at Taringa Parade"
4771,Disraeli St at Gordon Terrace,6:22 PM,1,0:01,,"4771: ""Disraeli St at Gordon Terrace"
1741,Disraeli St near Stanley St,6:23 PM,1,0:01,,"1741: ""Disraeli St near Stanley St"
10497,Musgrave Rd at Indooroopilly Shopping Ctr,6:26 PM,3,0:03,,"10497: ""Musgrave Rd at Indooroopilly Shopping Ctr"
2004,Indooroopilly interchange,6:27 PM,1,0:01,,2004: Indooroopilly interchange
